training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
60,routing_persistent_hotspot_cluster1,0,4,4,98000000,3,0,mdl2,18047554.116962817,0.0,0.19512720379517579,0.0,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,98000000,3,1,specimen_transfer:+1x0.05,18047554.116962817,0.0,0.19512720379517579,0.0,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,98000000,3,2,specimen_transfer:-1x0.05,18047554.116962817,0.0,0.19512720379517579,0.0,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,98000000,3,3,specimen_transfer:+1x0.1,18047554.116962817,0.0,0.19512720379517579,0.0,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,98000000,3,4,specimen_transfer:-1x0.1,18047554.116962817,0.0,0.19512720379517579,0.0,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,98000010,3,0,mdl2,2615758085.77148,0.0,0.49447017948561434,2300.0,0.06814877924873743
60,routing_persistent_hotspot_cluster1,0,remaining,52,98000010,3,1,specimen_transfer:+1x0.05,2615758085.77148,0.0,0.49447017948561434,2300.0,0.06814877924873743
60,routing_persistent_hotspot_cluster1,0,remaining,52,98000010,3,2,specimen_transfer:-1x0.05,2615758085.77148,0.0,0.49447017948561434,2300.0,0.06814877924873743
60,routing_persistent_hotspot_cluster1,0,remaining,52,98000010,3,3,specimen_transfer:+1x0.1,2615758085.77148,0.0,0.49447017948561434,2300.0,0.06814877924873743
60,routing_persistent_hotspot_cluster1,0,remaining,52,98000010,3,4,specimen_transfer:-1x0.1,2615758085.77148,0.0,0.49447017948561434,2300.0,0.06814877924873743
60,routing_persistent_hotspot_cluster1,6,4,4,98000600,3,0,mdl2,101822939.10696562,0.0,0.3958401632251591,32.0,0.006980802792321117
60,routing_persistent_hotspot_cluster1,6,4,4,98000600,3,1,specimen_transfer:+1x0.05,100638335.76453458,1184603.3424310386,0.396715915798666,30.333333333333332,0.006980802792321117
60,routing_persistent_hotspot_cluster1,6,4,4,98000600,3,2,specimen_transfer:-1x0.05,102100180.59543718,-277241.48847156763,0.3937988030056813,32.0,0.007017543859649123
60,routing_persistent_hotspot_cluster1,6,4,4,98000600,3,3,specimen_transfer:+1x0.1,99979135.19479485,1843803.9121707678,0.3949644106516521,29.333333333333332,0.006980802792321117
60,routing_persistent_hotspot_cluster1,6,4,4,98000600,3,4,specimen_transfer:-1x0.1,101579886.79669474,243052.3102708757,0.3911715452851603,30.666666666666668,0.006444053895723491
60,routing_persistent_hotspot_cluster1,6,remaining,46,98000610,3,0,mdl2,2584564241.907223,0.0,0.48985448414539107,2324.0,0.07414544874619466
60,routing_persistent_hotspot_cluster1,6,remaining,46,98000610,3,1,specimen_transfer:+1x0.05,2587790262.6500745,-3226020.7428512573,0.48978665520907505,2324.3333333333335,0.07426141418957917
60,routing_persistent_hotspot_cluster1,6,remaining,46,98000610,3,2,specimen_transfer:-1x0.05,2589107747.872818,-4543505.9655947685,0.4883282386006109,2333.3333333333335,0.0758563750385706
60,routing_persistent_hotspot_cluster1,6,remaining,46,98000610,3,3,specimen_transfer:+1x0.1,2591804835.2520523,-7240593.3448290825,0.48933119627935123,2326.0,0.0742867053675556
60,routing_persistent_hotspot_cluster1,6,remaining,46,98000610,3,4,specimen_transfer:-1x0.1,2593522382.026233,-8958140.119009972,0.48730110816641875,2338.3333333333335,0.07480767844498927
60,routing_persistent_hotspot_cluster1,12,4,4,98001200,3,0,mdl2,237037857.3861858,0.0,0.4522646103976147,230.0,0.03011424802443533
60,routing_persistent_hotspot_cluster1,12,4,4,98001200,3,1,specimen_transfer:+1x0.05,235048192.70144692,1989664.6847388744,0.45469036056272927,227.66666666666666,0.026050718340864327
60,routing_persistent_hotspot_cluster1,12,4,4,98001200,3,2,specimen_transfer:-1x0.05,238258098.14753005,-1220240.761344254,0.4528212538042387,233.33333333333334,0.0305976211541905
60,routing_persistent_hotspot_cluster1,12,4,4,98001200,3,3,specimen_transfer:+1x0.1,231414106.6261289,5623750.760056883,0.45636541467531305,222.0,0.02396666087359518
60,routing_persistent_hotspot_cluster1,12,4,4,98001200,3,4,specimen_transfer:-1x0.1,237444812.75210813,-406955.3659223318,0.4530051111309532,233.0,0.029298968658096235
60,routing_persistent_hotspot_cluster1,12,remaining,40,98001210,3,0,mdl2,2316510075.0189633,0.0,0.49486231046570706,2167.3333333333335,0.07148597981569983
60,routing_persistent_hotspot_cluster1,12,remaining,40,98001210,3,1,specimen_transfer:+1x0.05,2314512063.8959107,1998011.123052597,0.4959511667929512,2162.3333333333335,0.06925691766770593
60,routing_persistent_hotspot_cluster1,12,remaining,40,98001210,3,2,specimen_transfer:-1x0.05,2311055791.630663,5454283.388300419,0.4948051343308424,2169.3333333333335,0.070952653473832
60,routing_persistent_hotspot_cluster1,12,remaining,40,98001210,3,3,specimen_transfer:+1x0.1,2313973536.515062,2536538.5039014816,0.4965791851240116,2159.3333333333335,0.06889715726876709
60,routing_persistent_hotspot_cluster1,12,remaining,40,98001210,3,4,specimen_transfer:-1x0.1,2309587860.777063,6922214.241900444,0.4942899500655295,2170.6666666666665,0.07050542204311565
60,routing_persistent_hotspot_cluster1,18,4,4,98001800,3,0,mdl2,215520349.52387202,0.0,0.4668682986250476,201.0,0.051840721262208865
60,routing_persistent_hotspot_cluster1,18,4,4,98001800,3,1,specimen_transfer:+1x0.05,213367125.1207327,2153224.403139323,0.4685093119769809,199.0,0.04894578313253012
60,routing_persistent_hotspot_cluster1,18,4,4,98001800,3,2,specimen_transfer:-1x0.05,217074118.8389503,-1553769.3150782883,0.4668682986250476,204.33333333333334,0.0518796992481203
60,routing_persistent_hotspot_cluster1,18,4,4,98001800,3,3,specimen_transfer:+1x0.1,211884040.35568056,3636309.1681914628,0.46891956531496426,197.0,0.04819277108433736
60,routing_persistent_hotspot_cluster1,18,4,4,98001800,3,4,specimen_transfer:-1x0.1,217169134.2432343,-1648784.7193622887,0.4668682986250476,204.66666666666666,0.0518796992481203
60,routing_persistent_hotspot_cluster1,18,remaining,34,98001810,3,0,mdl2,2075617960.2909596,0.0,0.4761483516220095,1925.0,0.08165276853286874
60,routing_persistent_hotspot_cluster1,18,remaining,34,98001810,3,1,specimen_transfer:+1x0.05,2072731128.7888691,2886831.502090454,0.4768906949811846,1921.3333333333333,0.07974071052162007
60,routing_persistent_hotspot_cluster1,18,remaining,34,98001810,3,2,specimen_transfer:-1x0.05,2073766232.2236326,1851728.0673270226,0.4761429349644621,1925.0,0.081688501367351
60,routing_persistent_hotspot_cluster1,18,remaining,34,98001810,3,3,specimen_transfer:+1x0.1,2070483583.9296486,5134376.361310959,0.47750361457013063,1917.0,0.0782858863288802
60,routing_persistent_hotspot_cluster1,18,remaining,34,98001810,3,4,specimen_transfer:-1x0.1,2072690660.300845,2927299.990114689,0.4761994512976824,1924.6666666666667,0.08158397539264627
60,routing_persistent_hotspot_cluster1,25,4,4,98002500,3,0,mdl2,180418182.02755785,0.0,0.5072472787683543,162.66666666666666,0.05508233957978422
60,routing_persistent_hotspot_cluster1,25,4,4,98002500,3,1,specimen_transfer:+1x0.05,178099826.80410132,2318355.2234565318,0.5082196377691882,160.0,0.05337876206700739
60,routing_persistent_hotspot_cluster1,25,4,4,98002500,3,2,specimen_transfer:-1x0.05,183797556.68710825,-3379374.6595503986,0.5053025607666864,169.0,0.055113636363636365
60,routing_persistent_hotspot_cluster1,25,4,4,98002500,3,3,specimen_transfer:+1x0.1,178233788.3123641,2184393.7151937485,0.5082196377691882,161.33333333333334,0.053946621237933
60,routing_persistent_hotspot_cluster1,25,4,4,98002500,3,4,specimen_transfer:-1x0.1,184160504.18998396,-3742322.162426114,0.5043302017658526,169.0,0.055176336746302616
60,routing_persistent_hotspot_cluster1,25,remaining,27,98002510,3,0,mdl2,1494351778.1907206,0.0,0.5027331750464702,1360.0,0.06953499835678977
60,routing_persistent_hotspot_cluster1,25,remaining,27,98002510,3,1,specimen_transfer:+1x0.05,1492212330.281771,2139447.9089496136,0.5032045722617257,1356.6666666666667,0.0685869779699687
60,routing_persistent_hotspot_cluster1,25,remaining,27,98002510,3,2,specimen_transfer:-1x0.05,1493987681.0823574,364097.10836315155,0.5024435986745847,1363.6666666666667,0.0700882038046521
60,routing_persistent_hotspot_cluster1,25,remaining,27,98002510,3,3,specimen_transfer:+1x0.1,1492292828.375786,2058949.814934492,0.5031449206272708,1357.6666666666667,0.06900593658671521
