role,checkpoint_variant,training_seed,scenario,step,configured_horizon,candidate_index,candidate_label,executed_action_id,policy_executed_action_id,policy_candidate_index,true_cost_advantage,true_best_index,critic_q,critic_best_index,gradient_score,gradient_best_index,policy_linf_to_candidate
control,pretrain,60,routing_persistent_hotspot_cluster1,0,4,0,mdl2,f3120f7372f25dfd,f3120f7372f25dfd,0,0.0,0,-0.13321517407894135,4,0.0,4,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,0,4,1,specimen_transfer:+1x0.05,dc6dc36aa62127be,f3120f7372f25dfd,0,0.0,0,-0.13382361829280853,4,-0.0005965194432064891,4,0.05000000447034836
control,pretrain,60,routing_persistent_hotspot_cluster1,0,4,2,specimen_transfer:-1x0.05,beee58469efc390e,f3120f7372f25dfd,0,0.0,0,-0.13261261582374573,4,0.0005965194432064891,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,0,4,3,specimen_transfer:+1x0.1,5320dc19d3b8ec81,f3120f7372f25dfd,0,0.0,0,-0.13443723320960999,4,-0.0011930388864129782,4,0.10000000894069672
control,pretrain,60,routing_persistent_hotspot_cluster1,0,4,4,specimen_transfer:-1x0.1,2e563137a7e37654,f3120f7372f25dfd,0,0.0,0,-0.1320100724697113,4,0.0011930388864129782,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,0,remaining,0,mdl2,f3120f7372f25dfd,f3120f7372f25dfd,0,0.0,0,-0.13321517407894135,4,0.0,4,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,0,remaining,1,specimen_transfer:+1x0.05,dc6dc36aa62127be,f3120f7372f25dfd,0,0.0,0,-0.13382361829280853,4,-0.0005965194432064891,4,0.05000000447034836
control,pretrain,60,routing_persistent_hotspot_cluster1,0,remaining,2,specimen_transfer:-1x0.05,beee58469efc390e,f3120f7372f25dfd,0,0.0,0,-0.13261261582374573,4,0.0005965194432064891,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,0,remaining,3,specimen_transfer:+1x0.1,5320dc19d3b8ec81,f3120f7372f25dfd,0,0.0,0,-0.13443723320960999,4,-0.0011930388864129782,4,0.10000000894069672
control,pretrain,60,routing_persistent_hotspot_cluster1,0,remaining,4,specimen_transfer:-1x0.1,2e563137a7e37654,f3120f7372f25dfd,0,0.0,0,-0.1320100724697113,4,0.0011930388864129782,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,6,4,0,mdl2,06718b61e3f46d75,06718b61e3f46d75,0,0.0,3,-0.2508544623851776,4,0.0,4,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,6,4,1,specimen_transfer:+1x0.05,c25379922d61431c,06718b61e3f46d75,0,1184603.3424310386,3,-0.2517275810241699,4,-0.0008732467540539801,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,6,4,2,specimen_transfer:-1x0.05,40b568be3ff95b7c,06718b61e3f46d75,0,-277241.48847156763,3,-0.2499813288450241,4,0.0008732467540539801,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,6,4,3,specimen_transfer:+1x0.1,4cd0a6ba61ec5518,06718b61e3f46d75,0,1843803.9121707678,3,-0.25240588188171387,4,-0.0017464935081079602,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,6,4,4,specimen_transfer:-1x0.1,75cdbd8aa21b44d6,06718b61e3f46d75,0,243052.3102708757,3,-0.24932220578193665,4,0.001746493624523282,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,6,remaining,0,mdl2,06718b61e3f46d75,06718b61e3f46d75,0,0.0,0,-0.2508544623851776,4,0.0,4,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,6,remaining,1,specimen_transfer:+1x0.05,c25379922d61431c,06718b61e3f46d75,0,-3226020.7428512573,0,-0.2517275810241699,4,-0.0008732467540539801,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,6,remaining,2,specimen_transfer:-1x0.05,40b568be3ff95b7c,06718b61e3f46d75,0,-4543505.9655947685,0,-0.2499813288450241,4,0.0008732467540539801,4,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,6,remaining,3,specimen_transfer:+1x0.1,4cd0a6ba61ec5518,06718b61e3f46d75,0,-7240593.3448290825,0,-0.25240588188171387,4,-0.0017464935081079602,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,6,remaining,4,specimen_transfer:-1x0.1,75cdbd8aa21b44d6,06718b61e3f46d75,0,-8958140.119009972,0,-0.24932220578193665,4,0.001746493624523282,4,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,0,mdl2,d685d32f6c2e567a,d685d32f6c2e567a,0,0.0,3,-0.7997471690177917,1,0.0,3,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,1,specimen_transfer:+1x0.05,363b5856c57c75a6,d685d32f6c2e567a,0,1989664.6847388744,3,-0.7991654872894287,1,0.00025564897805452347,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,2,specimen_transfer:-1x0.05,b20595646c0c939c,d685d32f6c2e567a,0,-1220240.761344254,3,-0.8003201484680176,1,-0.00025564897805452347,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,3,specimen_transfer:+1x0.1,258eaf1ba1cc0415,d685d32f6c2e567a,0,5623750.760056883,3,-0.7993357181549072,1,0.0005112980725243688,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,4,specimen_transfer:-1x0.1,9239e6834dda0be5,d685d32f6c2e567a,0,-406955.3659223318,3,-0.8001474142074585,1,-0.0005112979561090469,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,0,mdl2,d685d32f6c2e567a,d685d32f6c2e567a,0,0.0,4,-0.7997471690177917,1,0.0,3,0.0
