training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,executed_action_id,discovery_seed_start,discovery_replications,discovery_total_cost,discovery_cost_advantage,validation_seed_start,validation_replications,validation_total_cost,validation_cost_advantage
60,routing_persistent_hotspot_cluster1,0,4,4,0,mdl2,5a698d5aba24488e,103000000,3,15188569.176500097,0.0,107000000,5,17257114.337061167,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,1,specimen_transfer:+1x0.05,42f177ef567b9266,103000000,3,15188569.176500097,0.0,107000000,5,17257114.337061167,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,2,specimen_transfer:-1x0.05,794a194532f11805,103000000,3,15188569.176500097,0.0,107000000,5,17257114.337061167,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,3,specimen_transfer:+1x0.1,86f9d72d29cadd1e,103000000,3,15188569.176500097,0.0,107000000,5,17257114.337061167,0.0
60,routing_persistent_hotspot_cluster1,0,4,4,4,specimen_transfer:-1x0.1,5bac04484fa18df1,103000000,3,15188569.176500097,0.0,107000000,5,17257114.337061167,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,0,mdl2,5a698d5aba24488e,103000010,3,2657246744.106462,0.0,107000010,5,2727114785.2196784,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,1,specimen_transfer:+1x0.05,42f177ef567b9266,103000010,3,2657246744.106462,0.0,107000010,5,2727114785.2196784,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,2,specimen_transfer:-1x0.05,794a194532f11805,103000010,3,2657246744.106462,0.0,107000010,5,2727114785.2196784,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,3,specimen_transfer:+1x0.1,86f9d72d29cadd1e,103000010,3,2657246744.106462,0.0,107000010,5,2727114785.2196784,0.0
60,routing_persistent_hotspot_cluster1,0,remaining,52,4,specimen_transfer:-1x0.1,5bac04484fa18df1,103000010,3,2657246744.106462,0.0,107000010,5,2727114785.2196784,0.0
60,routing_persistent_hotspot_cluster1,1,4,4,0,mdl2,499ceb650b54d707,103000100,3,32952296.13495046,0.0,107000100,5,37282562.574920185,0.0
60,routing_persistent_hotspot_cluster1,1,4,4,1,specimen_transfer:+1x0.05,87a8d085f1b99145,103000100,3,33468325.110514864,-516028.9755644053,107000100,5,37704633.15462399,-422070.57970380783
60,routing_persistent_hotspot_cluster1,1,4,4,2,specimen_transfer:-1x0.05,87b78b6e2760d114,103000100,3,33814079.80844369,-861783.6734932289,107000100,5,38064040.339477435,-781477.7645572498
60,routing_persistent_hotspot_cluster1,1,4,4,3,specimen_transfer:+1x0.1,b1e635f009447349,103000100,3,34520140.202466935,-1567844.067516476,107000100,5,38743015.89872081,-1460453.3238006234
60,routing_persistent_hotspot_cluster1,1,4,4,4,specimen_transfer:-1x0.1,c99b0b9c5ead996d,103000100,3,33995890.86094465,-1043594.7259941921,107000100,5,38256946.378479354,-974383.8035591692
60,routing_persistent_hotspot_cluster1,1,remaining,51,0,mdl2,499ceb650b54d707,103000110,3,2476515673.4441667,0.0,107000110,5,2558596333.3453093,0.0
60,routing_persistent_hotspot_cluster1,1,remaining,51,1,specimen_transfer:+1x0.05,87a8d085f1b99145,103000110,3,2476310483.645642,205189.79852485657,107000110,5,2573217450.225935,-14621116.880625725
60,routing_persistent_hotspot_cluster1,1,remaining,51,2,specimen_transfer:-1x0.05,87b78b6e2760d114,103000110,3,2457987894.8813124,18527778.56285429,107000110,5,2557137084.6848297,1459248.6604795456
60,routing_persistent_hotspot_cluster1,1,remaining,51,3,specimen_transfer:+1x0.1,b1e635f009447349,103000110,3,2530476435.064273,-53960761.62010622,107000110,5,2631385607.338456,-72789273.9931469
60,routing_persistent_hotspot_cluster1,1,remaining,51,4,specimen_transfer:-1x0.1,c99b0b9c5ead996d,103000110,3,2456414126.250973,20101547.193193436,107000110,5,2556947994.4897666,1648338.8555426598
60,routing_persistent_hotspot_cluster1,2,4,4,0,mdl2,08b7d7e5486a2b6e,103000200,3,44166373.119306594,0.0,107000200,5,46749064.47812164,0.0
60,routing_persistent_hotspot_cluster1,2,4,4,1,specimen_transfer:+1x0.05,9814bb528efa21ec,103000200,3,44213630.84820328,-47257.728896684945,107000200,5,46856474.61393501,-107410.13581337035
60,routing_persistent_hotspot_cluster1,2,4,4,2,specimen_transfer:-1x0.05,015611c424fd9b9b,103000200,3,44046754.41186426,119618.70744233578,107000200,5,46734451.16682787,14613.311293765903
60,routing_persistent_hotspot_cluster1,2,4,4,3,specimen_transfer:+1x0.1,2ede7cbd1ef159dc,103000200,3,43906397.54175085,259975.57755574584,107000200,5,46544154.62866384,204909.8494578004
60,routing_persistent_hotspot_cluster1,2,4,4,4,specimen_transfer:-1x0.1,c3e9b37eb35e31ad,103000200,3,43922954.457067035,243418.662239559,107000200,5,46845844.41424623,-96779.93612459302
60,routing_persistent_hotspot_cluster1,2,remaining,50,0,mdl2,08b7d7e5486a2b6e,103000210,3,2692798353.4829497,0.0,107000210,5,2767312996.2375903,0.0
60,routing_persistent_hotspot_cluster1,2,remaining,50,1,specimen_transfer:+1x0.05,9814bb528efa21ec,103000210,3,2709464320.137123,-16665966.654173374,107000210,5,2777154072.13296,-9841075.89536953
60,routing_persistent_hotspot_cluster1,2,remaining,50,2,specimen_transfer:-1x0.05,015611c424fd9b9b,103000210,3,2677180266.8461003,15618086.636849403,107000210,5,2755130865.3526516,12182130.884938717
60,routing_persistent_hotspot_cluster1,2,remaining,50,3,specimen_transfer:+1x0.1,2ede7cbd1ef159dc,103000210,3,2729109647.154533,-36311293.671583176,107000210,5,2792194531.7830553,-24881535.545464993
