algorithm,training_seed,scenario,checkpoint_variant,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,executed_action_id,executed_action_distinct,total_cost,true_cost_advantage,critic_q,critic_advantage,gradient_score,policy_action_linf_to_candidate,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,1,1,96200000,3,0,mdl2,13884b174e0b81f9,1,1225612.6000717774,0.0,0.07463368773460388,0.0,0.0,0.0,0.0,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,1,1,96200000,3,1,specimen_transfer:+1x0.05,6dd94573b9e6dbba,1,1225612.6000717774,0.0,0.0730782300233841,-0.0015554577112197876,-0.0015290481969714165,0.05000000447034836,0.0,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,1,1,96200000,3,2,specimen_transfer:-1x0.05,37b37dab58b5649d,1,1225612.6000717774,0.0,0.07619176059961319,0.0015580728650093079,0.0015290481969714165,0.05000000074505806,0.0,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,1,1,96200000,3,3,specimen_transfer:+1x0.1,f11622ae296efe7d,1,1225612.6000717774,0.0,0.07155892252922058,-0.0030747652053833008,-0.003058096393942833,0.10000000894069672,0.0,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,1,1,96200000,3,4,specimen_transfer:-1x0.1,204e1e1d20f23d45,1,1225612.6000717774,0.0,0.07776585221290588,0.003132164478302002,0.003058096393942833,0.10000000894069672,0.0,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,4,4,96200010,3,0,mdl2,13884b174e0b81f9,1,20838963.173168797,0.0,0.07463368773460388,0.0,0.0,0.0,0.15971657388980223,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,4,4,96200010,3,1,specimen_transfer:+1x0.05,6dd94573b9e6dbba,1,20838963.173168797,0.0,0.0730782300233841,-0.0015554577112197876,-0.0015290481969714165,0.05000000447034836,0.15971657388980223,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,4,4,96200010,3,2,specimen_transfer:-1x0.05,37b37dab58b5649d,1,20838963.173168797,0.0,0.07619176059961319,0.0015580728650093079,0.0015290481969714165,0.05000000074505806,0.15971657388980223,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,4,4,96200010,3,3,specimen_transfer:+1x0.1,f11622ae296efe7d,1,20838963.173168797,0.0,0.07155892252922058,-0.0030747652053833008,-0.003058096393942833,0.10000000894069672,0.15971657388980223,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,4,4,96200010,3,4,specimen_transfer:-1x0.1,204e1e1d20f23d45,1,20838963.173168797,0.0,0.07776585221290588,0.003132164478302002,0.003058096393942833,0.10000000894069672,0.15971657388980223,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,remaining,52,96200020,3,0,mdl2,13884b174e0b81f9,1,2643779623.1013913,0.0,0.07463368773460388,0.0,0.0,0.0,0.4916618172704663,2313.0,0.06603872095348375
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,remaining,52,96200020,3,1,specimen_transfer:+1x0.05,6dd94573b9e6dbba,1,2643779623.1013913,0.0,0.0730782300233841,-0.0015554577112197876,-0.0015290481969714165,0.05000000447034836,0.4916618172704663,2313.0,0.06603872095348375
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,remaining,52,96200020,3,2,specimen_transfer:-1x0.05,37b37dab58b5649d,1,2643779623.1013913,0.0,0.07619176059961319,0.0015580728650093079,0.0015290481969714165,0.05000000074505806,0.4916618172704663,2313.0,0.06603872095348375
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,remaining,52,96200020,3,3,specimen_transfer:+1x0.1,f11622ae296efe7d,1,2643779623.1013913,0.0,0.07155892252922058,-0.0030747652053833008,-0.003058096393942833,0.10000000894069672,0.4916618172704663,2313.0,0.06603872095348375
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,0,remaining,52,96200020,3,4,specimen_transfer:-1x0.1,204e1e1d20f23d45,1,2643779623.1013913,0.0,0.07776585221290588,0.003132164478302002,0.003058096393942833,0.10000000894069672,0.4916618172704663,2313.0,0.06603872095348375
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,1,1,96200600,3,0,mdl2,f64809328233c4d6,1,13715424.637036169,0.0,-0.13668665289878845,0.0,0.0,0.0,0.36643356643356645,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,1,1,96200600,3,1,specimen_transfer:+1x0.05,52082bdd8c771d17,1,13071980.335715609,643444.3013205603,-0.13783803582191467,-0.0011513829231262207,-0.000890993804205209,0.05000000074505806,0.36643356643356645,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,1,1,96200600,3,2,specimen_transfer:-1x0.05,1b8d11a4afa8eee3,1,13269946.907673486,445477.72936268337,-0.13539132475852966,0.001295328140258789,0.0008909939206205308,0.05000000074505806,0.36643356643356645,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,1,1,96200600,3,3,specimen_transfer:+1x0.1,144ebbdafc98675f,1,12626453.378484754,1088971.258551415,-0.1382075548171997,-0.0015209019184112549,-0.0017819878412410617,0.10000000149011612,0.36643356643356645,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,1,1,96200600,3,4,specimen_transfer:-1x0.1,ce8a3a61b87316a5,1,13114451.879294334,600972.757741835,-0.13508334755897522,0.0016033053398132324,0.0017819877248257399,0.10000000149011612,0.36643356643356645,0.0,0.0
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,4,4,96200610,3,0,mdl2,f64809328233c4d6,1,92801575.9129315,0.0,-0.13668665289878845,0.0,0.0,0.0,0.4215038862151603,40.333333333333336,0.005226491411608533
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,4,4,96200610,3,1,specimen_transfer:+1x0.05,52082bdd8c771d17,1,89135788.17343678,3665787.739494726,-0.13783803582191467,-0.0011513829231262207,-0.000890993804205209,0.05000000074505806,0.4215038862151603,34.0,0.005226491411608533
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,4,4,96200610,3,2,specimen_transfer:-1x0.05,1b8d11a4afa8eee3,1,92511803.97636366,289771.93656784296,-0.13539132475852966,0.001295328140258789,0.0008909939206205308,0.05000000074505806,0.41963882477173037,40.333333333333336,0.005250878718479419
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,4,4,96200610,3,3,specimen_transfer:+1x0.1,144ebbdafc98675f,1,87255531.90798855,5546044.004942954,-0.1382075548171997,-0.0015209019184112549,-0.0017819878412410617,0.10000000149011612,0.4215038862151603,31.0,0.005223450992273899
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,4,4,96200610,3,4,specimen_transfer:-1x0.1,ce8a3a61b87316a5,1,92890344.50365543,-88768.59072393179,-0.13508334755897522,0.0016033053398132324,0.0017819877248257399,0.10000000149011612,0.4171629829283358,40.0,0.0052972373349287364
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,remaining,46,96200620,3,0,mdl2,f64809328233c4d6,1,2648518060.920603,0.0,-0.13668665289878845,0.0,0.0,0.0,0.4874218593279564,2366.0,0.06599751681190247
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,remaining,46,96200620,3,1,specimen_transfer:+1x0.05,52082bdd8c771d17,1,2650510956.737149,-1992895.8165459633,-0.13783803582191467,-0.0011513829231262207,-0.000890993804205209,0.05000000074505806,0.48852272195564755,2360.6666666666665,0.06448401644556544
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,remaining,46,96200620,3,2,specimen_transfer:-1x0.05,1b8d11a4afa8eee3,1,2638314283.5690346,10203777.351568222,-0.13539132475852966,0.001295328140258789,0.0008909939206205308,0.05000000074505806,0.48836777732713715,2361.3333333333335,0.06823710492473435
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,remaining,46,96200620,3,3,specimen_transfer:+1x0.1,144ebbdafc98675f,1,2655005586.1780095,-6487525.257406712,-0.1382075548171997,-0.0015209019184112549,-0.0017819878412410617,0.10000000149011612,0.488112130604867,2365.0,0.06517869482911294
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,6,remaining,46,96200620,3,4,specimen_transfer:-1x0.1,ce8a3a61b87316a5,1,2667267187.326096,-18749126.40549326,-0.13508334755897522,0.0016033053398132324,0.0017819877248257399,0.10000000149011612,0.4825691409044445,2394.0,0.06870407097116972
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,1,1,96201200,3,0,mdl2,fac3f80e6cd0f2bc,1,49703189.53842721,0.0,-0.5759872794151306,0.0,-0.0001517030905233696,0.025123637169599533,0.43392370572207084,36.0,0.014341590612777053
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,1,1,96201200,3,1,specimen_transfer:+1x0.05,8e5504fd5e1d6bd9,1,50080932.14959112,-377742.61116390675,-0.5761295557022095,-0.00014227628707885742,-0.0003563084756024182,0.07267309725284576,0.43392370572207084,37.0,0.014341590612777053
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,1,1,96201200,3,2,specimen_transfer:-1x0.05,2f975c9ea154650f,1,49773471.50097779,-70281.9625505805,-0.5757970809936523,0.00019019842147827148,5.290244007483125e-05,0.0499439463019371,0.43392370572207084,36.0,0.014360313315926894
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,1,1,96201200,3,3,specimen_transfer:+1x0.1,485dd3ec0df02038,1,49285020.16240096,418169.3760262504,-0.5761183500289917,-0.00013107061386108398,-0.0005609139334410429,0.12178924679756165,0.43392370572207084,36.0,0.014341590612777053
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,1,1,96201200,3,4,specimen_transfer:-1x0.1,c66ee499953a85d2,1,49725746.835141815,-22557.2967146039,-0.5755676031112671,0.0004196763038635254,0.00025750789791345596,0.09994395077228546,0.43392370572207084,36.0,0.014416775884665793
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,4,4,96201210,3,0,mdl2,fac3f80e6cd0f2bc,1,214269968.04916534,0.0,-0.5759872794151306,0.0,-0.0001517030905233696,0.025123637169599533,0.4497762951594233,169.66666666666666,0.026014568158168574
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,4,4,96201210,3,1,specimen_transfer:+1x0.05,8e5504fd5e1d6bd9,1,213373865.1750783,896102.8740870357,-0.5761295557022095,-0.00014227628707885742,-0.0003563084756024182,0.07267309725284576,0.45032726223587954,168.33333333333334,0.026023600994334605
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,4,4,96201210,3,2,specimen_transfer:-1x0.05,2f975c9ea154650f,1,216308941.4539465,-2038973.4047811627,-0.5757970809936523,0.00019019842147827148,5.290244007483125e-05,0.0499439463019371,0.44794084555473496,173.33333333333334,0.026050718340864327
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,4,4,96201210,3,3,specimen_transfer:+1x0.1,485dd3ec0df02038,1,212870830.3325422,1399137.7166231275,-0.5761183500289917,-0.00013107061386108398,-0.0005609139334410429,0.12178924679756165,0.45124203561768966,167.66666666666666,0.026014568158168574
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,4,4,96201210,3,4,specimen_transfer:-1x0.1,c66ee499953a85d2,1,216618139.2365903,-2348171.1874249578,-0.5755676031112671,0.0004196763038635254,0.00025750789791345596,0.09994395077228546,0.44628923477065113,173.0,0.025130945104920383
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,remaining,40,96201220,3,0,mdl2,fac3f80e6cd0f2bc,1,2258111628.219864,0.0,-0.5759872794151306,0.0,-0.0001517030905233696,0.025123637169599533,0.5038343903096513,2036.6666666666667,0.06098783907456377
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,remaining,40,96201220,3,1,specimen_transfer:+1x0.05,8e5504fd5e1d6bd9,1,2251752004.872826,6359623.347037792,-0.5761295557022095,-0.00014227628707885742,-0.0003563084756024182,0.07267309725284576,0.5055235687907894,2028.6666666666667,0.06127452557084031
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,remaining,40,96201220,3,2,specimen_transfer:-1x0.05,2f975c9ea154650f,1,2250162355.9961996,7949272.223664284,-0.5757970809936523,0.00019019842147827148,5.290244007483125e-05,0.0499439463019371,0.5052900087148093,2030.0,0.06095563314377341
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,remaining,40,96201220,3,3,specimen_transfer:+1x0.1,485dd3ec0df02038,1,2256402581.109223,1709047.1106410027,-0.5761183500289917,-0.00013107061386108398,-0.0005609139334410429,0.12178924679756165,0.5046333178598692,2035.0,0.0634441976185876
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,12,remaining,40,96201220,3,4,specimen_transfer:-1x0.1,c66ee499953a85d2,1,2248278934.139,9832694.080863953,-0.5755676031112671,0.0004196763038635254,0.00025750789791345596,0.09994395077228546,0.5056723039147839,2031.0,0.060084922421838306
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,1,1,96201800,3,0,mdl2,9472127bf721be07,1,69010074.57962914,0.0,-0.65304034948349,0.0,-4.710795474238694e-05,0.012462222017347813,0.4540886249428963,69.0,0.032062391681109186
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,1,1,96201800,3,1,specimen_transfer:+1x0.05,241ec2627e75e381,1,68842876.76111406,167197.81851507723,-0.6526593565940857,0.0003809928894042969,0.0005045433063060045,0.05864212289452553,0.4540886249428963,70.0,0.032062391681109186
gcn_residual_mdl2_network_ddpg_afd,50,routing_persistent_hotspot_cluster1,pretrain,18,1,1,96201800,3,2,specimen_transfer:-1x0.05,636e5fcfd3366b3d,1,68289039.58371396,721034.9959151745,-0.6534515619277954,-0.0004112124443054199,-0.0005987592157907784,0.05480818450450897,0.4540886249428963,68.0,0.03214596003475239
