component,label,additive_to_total,parent_component,mdl2_mean,gcn_ddpg_mean,gcn_minus_mdl2,mdl2_share_of_total_pct
base_cost,Base operating cost (net),True,,1231890934.2765617,1229790831.5623403,-2100102.7142214775,45.85582679981598
patient_loss_cost,Patient-loss cost,True,,1204627500.0,1191996250.0,-12631250.0,44.84097452241988
expiry_cost,Expiry cost,True,,240859750.0,238053450.0,-2806300.0,8.965747430825232
urgency_cost,Urgency cost,True,,9065437.5,8913550.0,-151887.5,0.33745124693906603
reagent_purchase_cost,Reagent purchase,False,base_cost,77650789.8658581,77573236.07945341,-77553.78640468419,2.890467874941194
reagent_holding_cost,Reagent holding,False,base_cost,5173945.284947214,5181931.144530954,7985.859583740123,0.1925945976683352
reagent_shortage_cost,Reagent shortage,False,base_cost,18024164.210531875,17306064.403775427,-718099.806756448,0.670930298496732
bioreactor_holding_cost,Bioreactor holding,False,base_cost,5103.129394262421,4923.513901080454,-179.61549318196649,0.00018995855162922415
bioreactor_shortage_cost,Bioreactor shortage,False,base_cost,1130647986.6188455,1129160903.7027366,-1487082.9161088467,42.087166000943014
specimen_transfer_cost,Specimen transfer,False,base_cost,165093.88134847314,338666.0050815067,173572.12373303354,0.006145443738711173
capacity_transfer_cost,Capacity transfer,False,base_cost,65612.63374690457,65820.49758950724,207.86384260267369,0.002442360346409006
reagent_transfer_cost,Reagent transfer,False,base_cost,158238.6518921572,159286.21526866005,1047.5633765028324,0.005890265130057457
