scenario,state_id,decision_epoch,bound_count,stream,crn_seed,arm,overtime_rung,remaining_cost,completion_service_level,patients_lost,manufacturing_ineligibility,scenario_declaration_sha256
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,anchor,-1.0,1311115629.6432688,0.6014437689969605,1061.0,0.0464975845410628,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.00,0.0,1315486978.7477465,0.5991641337386018,1067.0,0.045262522631261314,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.10,0.1,1309522939.1049376,0.6037234042553191,1059.0,0.04439112177564487,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.20,0.2,1307760348.6816761,0.6037234042553191,1056.0,0.04561824729891957,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.30,0.3,1309495073.7311945,0.601823708206687,1057.0,0.04632972322503008,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.40,0.4,1306009840.84941,0.6048632218844985,1053.0,0.04397590361445783,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.50,0.5,1299092923.2639349,0.6090425531914894,1045.0,0.04431137724550898,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.60,0.6,1299077804.3608453,0.6094224924012158,1044.0,0.04428485936564931,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.70,0.7,1297980430.9767566,0.6098024316109423,1042.0,0.04537313432835821,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200000,u_0.80,0.8,1293764990.2720337,0.6124620060790273,1036.0,0.046263345195729534,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
