phase,state_index,state_id,scenario,generation_seed,epoch,world_seed,candidate,budget_fraction,smoothing,total_cost,patients_lost,completion_service_level,request_total,allocation_signature,shared_budget,local_interior_fraction,shared_budget_interior,rng_sha256
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b0.75_a0.00,0.75,0.0,903048581.2184256,700.0,0.37223587223587223,23.624999606609347,"0.070,0.078,0.073,0.080,0.093,0.018,0.018,0.020,0.021,0.015,0.041,0.038,0.045,0.032,0.031,0.013,0.016,0.014,0.018,0.016",31.500000000000007,1.0,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b0.75_a0.25,0.75,0.25,902991972.5777702,700.0,0.37223587223587223,23.624999856948854,"0.072,0.077,0.075,0.076,0.084,0.029,0.019,0.019,0.023,0.019,0.036,0.035,0.040,0.031,0.031,0.018,0.017,0.016,0.018,0.016",31.500000000000007,1.0,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b0.75_a0.50,0.75,0.5,902940639.0912791,700.0,0.37223587223587223,23.624999624490737,"0.074,0.076,0.077,0.073,0.075,0.041,0.019,0.018,0.024,0.023,0.031,0.032,0.035,0.031,0.031,0.022,0.018,0.018,0.017,0.016",31.500000000000007,1.0,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b0.75_a0.75,0.75,0.75,902752128.1094978,700.0,0.37223587223587223,23.62500033974647,"0.075,0.075,0.079,0.070,0.066,0.052,0.019,0.017,0.026,0.026,0.026,0.029,0.030,0.030,0.030,0.027,0.019,0.020,0.016,0.016",31.500000000000007,1.0,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b0.75_a1.00,0.75,1.0,902914208.5884459,700.0,0.37182637182637185,23.625000393390653,"0.077,0.075,0.080,0.066,0.057,0.064,0.020,0.016,0.028,0.030,0.021,0.026,0.025,0.030,0.030,0.031,0.020,0.022,0.015,0.016",31.500000000000007,1.0,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b1.00_a0.00,1.0,0.0,904047961.5055828,700.0,0.37223587223587223,31.499999499320985,"0.095,0.095,0.095,0.095,0.095,0.026,0.027,0.030,0.031,0.023,0.060,0.055,0.067,0.047,0.046,0.020,0.023,0.020,0.027,0.023",31.500000000000007,0.75,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b1.00_a0.25,1.0,0.25,903760671.2248954,700.0,0.3726453726453726,31.500000000000004,"0.095,0.095,0.095,0.095,0.095,0.042,0.027,0.028,0.032,0.027,0.051,0.050,0.058,0.045,0.044,0.025,0.024,0.023,0.025,0.023",31.500000000000007,0.75,False,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b1.00_a0.50,1.0,0.5,903734904.3308094,700.0,0.3726453726453726,31.500000000000007,"0.095,0.095,0.095,0.095,0.095,0.057,0.026,0.025,0.034,0.032,0.043,0.044,0.049,0.043,0.043,0.031,0.025,0.025,0.023,0.022",31.500000000000007,1.0,False,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b1.00_a0.75,1.0,0.75,903367142.344273,700.0,0.37305487305487306,31.49999994635582,"0.095,0.095,0.095,0.095,0.091,0.072,0.026,0.023,0.036,0.036,0.035,0.039,0.042,0.042,0.042,0.037,0.026,0.028,0.022,0.022",31.500000000000007,0.8,True,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410000,b1.00_a1.00,1.0,1.0,902966179.54969,700.0,0.37346437346437344,31.500000000000004,"0.095,0.095,0.095,0.092,0.079,0.088,0.027,0.022,0.039,0.041,0.029,0.035,0.035,0.041,0.042,0.043,0.028,0.031,0.021,0.022",31.500000000000007,0.85,False,d3990d48323fc4d4e7910936a98a174ce99cf65eb0651118417cc97c024b7170
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b0.75_a0.00,0.75,0.0,532937550.46821404,387.0,0.4789391575663027,23.624999606609347,"0.070,0.078,0.073,0.080,0.093,0.018,0.018,0.020,0.021,0.015,0.041,0.038,0.045,0.032,0.031,0.013,0.016,0.014,0.018,0.016",31.500000000000007,1.0,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b0.75_a0.25,0.75,0.25,532878334.2034285,387.0,0.4789391575663027,23.624999856948854,"0.072,0.077,0.075,0.076,0.084,0.029,0.019,0.019,0.023,0.019,0.036,0.035,0.040,0.031,0.031,0.018,0.017,0.016,0.018,0.016",31.500000000000007,1.0,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b0.75_a0.50,0.75,0.5,532702224.10396814,387.0,0.4794591783671347,23.624999624490737,"0.074,0.076,0.077,0.073,0.075,0.041,0.019,0.018,0.024,0.023,0.031,0.032,0.035,0.031,0.031,0.022,0.018,0.018,0.017,0.016",31.500000000000007,1.0,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b0.75_a0.75,0.75,0.75,532652948.8269388,387.0,0.4789391575663027,23.62500033974647,"0.075,0.075,0.079,0.070,0.066,0.052,0.019,0.017,0.026,0.026,0.026,0.029,0.030,0.030,0.030,0.027,0.019,0.020,0.016,0.016",31.500000000000007,1.0,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b0.75_a1.00,0.75,1.0,532014630.60862154,386.0,0.4784191367654706,23.625000393390653,"0.077,0.075,0.080,0.066,0.057,0.064,0.020,0.016,0.028,0.030,0.021,0.026,0.025,0.030,0.030,0.031,0.020,0.022,0.015,0.016",31.500000000000007,1.0,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b1.00_a0.00,1.0,0.0,533932245.89015645,387.0,0.4789391575663027,31.499999499320985,"0.095,0.095,0.095,0.095,0.095,0.026,0.027,0.030,0.031,0.023,0.060,0.055,0.067,0.047,0.046,0.020,0.023,0.020,0.027,0.023",31.500000000000007,0.75,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b1.00_a0.25,1.0,0.25,533572765.3117974,387.0,0.4794591783671347,31.500000000000004,"0.095,0.095,0.095,0.095,0.095,0.042,0.027,0.028,0.032,0.027,0.051,0.050,0.058,0.045,0.044,0.025,0.024,0.023,0.025,0.023",31.500000000000007,0.75,False,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b1.00_a0.50,1.0,0.5,532745397.9534118,386.0,0.4794591783671347,31.500000000000007,"0.095,0.095,0.095,0.095,0.095,0.057,0.026,0.025,0.034,0.032,0.043,0.044,0.049,0.043,0.043,0.031,0.025,0.025,0.023,0.022",31.500000000000007,1.0,False,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
discovery,0,scheduled_rotation_forward__g99300000__t004,scheduled_rotation_forward,99300000,4,99410001,b1.00_a0.75,1.0,0.75,532335455.72237706,386.0,0.4799791991679667,31.49999994635582,"0.095,0.095,0.095,0.095,0.091,0.072,0.026,0.023,0.036,0.036,0.035,0.039,0.042,0.042,0.042,0.037,0.026,0.028,0.022,0.022",31.500000000000007,0.8,True,2d3b0931733eac821f0c29205d59d4d78f42f4fb3c982c5d630696f8c55a324b
